Gene.symbol	Endothelial cells	Dental Pulp Cells	Glial cells	Lymphocytes	Perivascular Cells	Macrophages	Pre-odontoblasts	"Stratum Intermedium" and "Stellate Reticulum"	early-stage pulp cell	Vascular Smooth Muscle Cells	Outer Enamel Epithelium	Osteoblasts	Ameloblasts	innate immune cells
AI607873	0.1	0.09	0.01	1.26	0.08	2.81	0.04	0.03	0.08	0.02	0.12	0.05	0	0.04
Ms4a6b	0.09	0.12	0	1.81	0.06	2.85	0.03	0.03	0.03	0.06	0.1	0.09	0.07	0.06
Ms4a6c	0.07	0.08	0.02	1.94	0.03	2.64	0.05	0.03	0.05	0.09	0.04	0.05	0.07	0.06
Clec4a3	0.13	0.13	0.02	1.55	0.08	2.96	0.06	0.01	0.07	0.04	0.02	0.11	0.04	0.09
Tifab	0.06	0.02	0.03	1.97	0.02	2.63	0.04	0.02	0.09	0.06	0.02	0.05	0.02	0.05
Clec4a1	0.06	0.1	0.02	1.48	0.05	2.31	0.02	0.05	0.08	0.01	0.02	0.09	0.04	0.15
Adam8	0.08	0.21	0.03	0.61	0.1	0.18	0.17	0.05	0.16	0.02	0.09	0.05	0.75	2.65
Osm	0.03	0.06	0.01	0.86	0.04	1.03	0.03	0.04	0.07	0.08	0.08	0.03	0.02	2.42
Mmp8	0.07	0.13	0.02	0.54	0.02	0.05	0.09	0.16	0.08	0.12	0.15	0.04	0.08	2.85
Retnlg	0.16	0.11	0.05	0.43	0.21	0.09	0.08	0.22	0.33	0.2	0.21	0.21	0	3.84
Slfn1	0.01	0.03	0.02	0.89	0.01	0.2	0.02	0	0.03	0.05	0	0	0	2.55
Il1f9	0.02	0.01	0.01	0.06	0.03	0.01	0	0.01	0.03	0.01	0.01	0	0.17	2.3
Cxcr2	0.04	0.03	0	0.16	0.01	0.01	0.05	0.01	0	0.01	0.02	0.01	0	2.78
Il1r2	0	0.08	0	0.28	0.05	0.04	0	0.08	0.05	0.05	0.02	0	0	2.33
Clec4d	0.02	0.03	0.01	0.41	0.01	0.19	0.03	0.01	0.05	0.05	0.04	0.03	0	2.37
Fpr1	0.02	0.03	0	0.03	0.01	0.22	0	0.01	0.02	0.02	0.01	0.01	0	2.24
Slc2a3	0.11	0.29	0.19	0.47	0.28	0.21	0.27	0.23	0.48	0.57	0.21	0.38	0	2.95
Mmp9	0.07	0.08	0.07	0.2	0.25	0.18	0.05	0.06	1.53	1.77	0.14	0.53	0.04	3.47
1810033B17Rik	0.02	0	0.02	1.47	0.02	0.05	0.03	0.06	0.04	0.12	0.03	0.04	0	3.42
Cd300lf	0.01	0.02	0.01	0.79	0.02	0.51	0	0.01	0	0.03	0	0.05	0	2.7
Fgr	0.02	0.05	0.03	1.58	0.02	0.25	0.02	0.03	0.02	0.04	0.05	0.03	0.09	2.79
Ifitm6	0.05	0.02	0	1.57	0.03	0.1	0.02	0.02	0.05	0.03	0.04	0.01	0.02	2.93
Pstpip1	0.04	0.07	0	1.78	0.02	0.42	0.17	0.33	0.07	0.06	0.06	0.11	0	2.38
Slpi	0.03	0.06	0.03	0.8	0.02	0.02	0.09	0.04	0.04	0.04	0.05	0.02	0.3	3.18
Sell	0.04	0.05	0.01	1.49	0.01	0	0	0	0.05	0.05	0.02	0.02	0	2.9
Hp	0.03	0.05	0.02	1.24	0.05	0.02	0.01	0.08	0.07	0.19	0.03	0.03	0	3.71
Nfe2	0.02	0.15	0	1.06	0.03	0.03	0.02	0	0.03	0.1	0.08	0	0	2.55
Ly6c2	0.47	0.06	0.01	1.6	0.04	0.05	0.04	0.05	0.12	0.09	0.06	0.08	0	2.85
Gda	0.11	0.13	0.01	1.11	0.2	0.07	0.1	0.1	0.04	0.03	0.31	0.11	0.62	3.02
B430306N03Rik	0.04	0.06	0.04	0.38	0.01	0.22	0.01	0.02	0	0	0.02	0	0	2.33
Pram1	0.05	0.08	0.04	0.61	0.08	0.14	0.04	0.07	0.08	0.17	0.05	0.04	0	2.65
Padi4	0.03	0.06	0.03	0.26	0.01	0.01	0.02	0.02	0.03	0.02	0	0.01	0	2.62
Trem3	0.01	0.02	0	0.51	0	0.03	0.01	0.01	0.02	0.03	0.03	0.01	0	2.46
Fpr2	0.01	0.02	0	0.19	0	0.22	0	0	0.02	0.01	0.02	0	0	2.42
Trem1	0.01	0.04	0.02	0.29	0	0.02	0.01	0.01	0.01	0.01	0.02	0.04	0	2.32
Alox5	0.02	0.1	0.02	0.3	0.01	0.44	0.02	0.02	0.13	0.01	0	0.06	0.04	2.34
Cd177	0	0.06	0.01	0.6	0.03	0.02	0.02	0.08	0.07	0.11	0.06	0.02	0	2.85
Chi3l1	0.03	0.12	0.02	0.06	0.01	0.01	0.05	0.03	0.03	0.14	0.05	0.12	0.02	2.85
Hdc	0.08	0.09	0	0.54	0.09	0.03	0.06	0.06	0.07	0.11	0.04	0.05	0	3.23
1100001G20Rik	0.02	0.02	0.01	0.15	0.02	0.03	0.01	0.06	0.08	0.01	0.04	0.02	0.04	3.48
Pglyrp1	0.15	0.02	0.03	0.67	0.02	0.02	0.01	0.04	0.05	0.08	0.06	0.01	0	3.48
Lrg1	1.86	0.06	0.02	0.1	0.01	0.03	0.02	0.02	0.05	0.02	0.05	0.02	0.03	2.67
Slfn4	0.45	0.09	0.02	0.28	0.03	0.04	0.03	0.05	0.05	0.03	0.05	0	0.03	3.16
Ngp	0.28	0.19	0.04	0.81	0.23	0.19	0.18	0.26	0.51	0.55	0.44	0.29	0.08	3.74
Lcn2	0.17	0.11	0.04	0.79	0.12	0.11	0.09	0.19	0.32	0.33	0.25	0.16	0.07	4.07
Ltf	0.15	0.09	0.02	0.39	0.15	0.1	0.1	0.11	0.32	0.25	0.22	0.27	0.08	2.72
Camp	0.11	0.09	0.04	0.42	0.11	0.08	0.11	0.15	0.24	0.26	0.27	0.1	0	2.85
Chi3l3	0.11	0.12	0.02	1.14	0.11	0.07	0.08	0.13	0.24	0.17	0.18	0.09	0	2.55
C3	0.02	0.08	0.03	1.08	0.05	0.15	0	0.04	0.07	0.06	0.04	0.08	0.02	2.35
S100a9	0.35	0.27	0.11	0.97	0.34	0.21	0.19	0.38	0.64	0.67	0.59	0.5	0.28	5.1
S100a8	0.43	0.3	0.13	1.34	0.37	0.3	0.27	0.42	0.74	0.77	0.77	0.58	0.08	5.33
Cdh11	0.27	2.77	0.18	0.25	1.57	0.24	3.27	0.42	3.46	3.33	0.25	3.68	0.32	0.23
Mmp2	0.56	2.81	2.01	0.29	1.67	1.09	3.28	0.08	3.44	3.37	0.22	3.84	0.45	0.48
Wif1	0.48	1.96	0.26	0.38	0.33	0.43	3.07	0.51	3.7	3.22	0.46	4.12	0.88	0.4
Islr	0.21	2.63	0.95	0.11	0.96	0.2	2.06	0.23	2.84	2.84	0.6	2.96	0.2	0.12
Colec12	0.46	2.6	0.14	0.15	1.53	0.34	2.22	0.64	2.81	3.56	0.12	2.35	0.39	0.17
Cpxm1	0.19	1.7	0.25	0.18	0.67	0.17	2.31	0.93	2.45	3.31	1.07	2.6	0.32	0.14
Fbln1	0.21	2.02	0.33	0.18	1.08	0.16	2.5	2.49	2.7	3.76	1.29	1.99	0.12	0.27
Ptn	1.05	2.64	1.22	0.17	0.43	0.24	3.7	1.82	2.36	1.89	0.69	3.53	0.15	0.13
Serping1	0.23	2.07	0.43	0.13	2.87	0.12	0.99	0.05	2.14	3.31	0.14	2.08	0.29	0.16
Pdgfrb	0.18	1.84	0.19	0.21	3.4	0.17	1.77	0.13	2.29	2.61	0.15	2.65	0.08	0.2
S1pr3	0.29	2.91	0.68	0.35	2.91	0.29	3.16	0.26	2.3	2.24	0.16	2.45	0.19	0.17
Col12a1	0.21	2.52	1.64	0.26	1.04	0.26	2.31	0.16	2.63	2.38	0.61	3.72	0.17	0.14
Omd	0.19	2.23	0.11	0.25	0.33	0.19	3.03	0.08	2.48	0.8	0.09	3.64	0.32	0.14
Lum	0.79	3.53	0.31	0.63	1.07	0.93	4.18	0.16	3.23	1.33	0.59	4.31	0.96	0.47
Dcn	0.25	2.85	0.17	0.17	0.68	0.38	3.27	0.11	1.96	0.74	0.59	3.78	0.36	0.24
Col1a2	0.57	3.14	2.78	0.75	2.11	0.77	3.31	0.57	4.01	3.65	1.28	4.29	2	0.64
Col1a1	0.69	3.1	1.41	0.86	1.93	1.03	3.56	0.33	3.98	3.55	0.75	4.2	0.84	0.75
Col3a1	0.69	3.22	2.42	0.77	3.5	0.58	2.8	0.34	4.31	3.92	0.76	4.4	1.02	1
Gatm	0.51	0.16	1.42	0.76	0.15	3.14	0.08	0.1	1.46	0.17	0.1	0.41	0.08	0.51
Arhgap19	0.19	0.29	0.34	0.53	0.01	2.24	0.3	0.34	0.21	0.08	0.22	0.09	0.31	0.83
Vcam1	0.73	0.31	0.31	0.16	0.74	2.83	0.17	0.05	1.34	1.13	0.18	0.29	0.27	0.34
Pla2g7	0.17	0.58	0.05	0.98	0.45	3.15	0.28	0.06	1.7	0.74	0.56	0.34	0.19	1.21
Mmp13	0.11	0.14	0.1	0.23	0.21	2.2	0.18	0.07	0.45	2.96	0.19	0.23	0.1	0.25
H2-DMb1	0.34	0.66	0.04	1.66	0.52	2.83	0.7	0.28	0.71	1.03	0.64	0.6	0.5	0.24
Tgfbr1	0.75	0.74	0.4	0.79	0.52	3.04	0.97	1.3	0.98	0.77	0.76	1.09	1.13	0.74
Dab2	1.67	0.6	0.06	0.7	0.53	3.24	0.77	0.16	1.95	1.79	0.25	1.16	0.6	0.13
Slc40a1	0.45	0.44	0.06	0.14	0.26	2.28	0.29	0.13	1.29	0.98	0.08	0.9	2.07	1.89
Folr2	0.08	0.11	0.03	0.1	0.08	0.71	0.07	0.05	0.14	0.09	0.04	0.07	0.07	0.11
F13a1	0.08	0.18	0.05	1.24	0.06	1.04	0.12	0.05	0.07	0.15	0.07	0.06	0.05	0.16
Tmem106a	0.41	0.26	0.08	0.98	0.22	2.12	0.18	0.09	0.27	0.39	0.28	0.16	0.26	0.07
Cbr2	0.2	0.11	0.01	0.1	0.07	1.39	0.1	0.64	0.09	0.04	1.73	0.13	1.61	0.05
Casp1	0.49	0.12	0.07	1.33	0.07	1.57	0.05	0.22	0.04	0.08	0.66	0.11	2.81	0.58
Bcl2a1b	0.02	0.01	0	0.5	0.02	2.32	0	0	0.02	0	0.02	0.04	0	0.12
Slamf9	0.2	0.2	0.06	1.1	0.25	2.67	0.23	0.06	0.11	0.03	0.09	0.19	0.28	0.13
Cd83	0.18	0.29	0	0.92	0.2	2.96	0.4	0.08	0.23	0.28	0.06	0.17	0.13	0.02
Rgs1	0.2	0.19	0.02	0.99	0.17	2.98	0.18	0.02	0.08	0.11	0.13	0.27	0.03	0.14
Ccl4	0.17	0.18	0	0.79	0.15	2.57	0.15	0.02	0.12	0.06	0.03	0.2	0.16	0.15
Ccl3	0.1	0.09	0	0.67	0.06	2.75	0.09	0.02	0.05	0.07	0	0.13	0.07	0.31
Ets1	2.96	0.88	2.06	0.72	2.22	0.58	0.43	0.11	0.47	0.56	0.05	0.46	0.46	1.1
Ptp4a3	2.06	0.91	0.29	1.29	3.16	1.38	0.67	0.47	1.08	1.05	0.39	0.76	0.33	0.29
Nrp1	3.43	0.72	0.84	0.91	2.79	2.64	0.42	0.18	0.52	1.9	0.16	0.43	0.22	0.52
Cd93	3.15	0.14	0.04	0.82	1.81	2.3	0.09	0.04	0.05	0.13	0.05	0.14	0.03	0.28
Entpd1	3.03	0.24	0.02	0.91	1.2	2.68	0.09	0.07	0.15	0.14	0.02	0.12	0.2	1.04
Cd38	2.38	0.28	0.04	0.26	0.34	1.78	0.06	0.04	0.03	0.07	0	0.13	0.13	0.05
Stab1	2.32	0.23	0.05	0.24	0.1	2.96	0.16	0.16	0.13	0.13	0.13	0.54	0.45	0.08
Cnp	0.58	0.84	3.19	1.48	0.32	1.23	0.32	0.41	0.68	0.28	0.49	1.14	0.4	0.16
Gas7	0.48	1.42	3.41	1.13	0.38	0.91	0.78	0.3	0.33	0.2	0.21	0.2	0.02	1.25
Plekhb1	0.11	1.51	3.32	0.07	0.14	0.09	0.14	0.4	0.34	0.31	1.08	0.14	0.41	0.13
Fndc1	0.09	1.35	2.97	0.09	0.2	0.06	0.31	0.13	2.54	1.25	0.87	0.34	0.03	0.06
Dmd	0.38	0.23	2.71	0.12	2.04	0.06	0.28	1.77	0.72	0.32	1.23	0.07	0.98	0.03
Aatk	0.19	0.21	2.82	0.05	0.33	0.22	0.4	1.29	0.44	0.55	0.61	0.22	0.06	0.34
Gpm6b	0.11	0.72	3.3	0.08	0.26	0.05	0.66	1.39	1.33	0.28	1.38	0.19	0.02	0.01
Cyp2j9	0.31	0.55	2.43	0.06	0.18	0.03	0.27	0.04	0.21	0.33	0.26	0.27	0.15	0
Adam23	0.03	0.49	2.59	0.18	0.07	0.07	0.69	0.48	0.22	0.93	0.14	0.13	0	0.07
S100b	0.04	0.07	2.39	0.01	0.06	0.02	0.04	0.09	0.1	0.76	0.04	0.03	0	0.01
Fabp7	0.02	0.11	2.34	0.03	0.97	0.06	0.01	0.02	0.01	0	0.03	0.06	0	0.01
Atp1a2	0.02	0.31	2.41	0.03	0.8	0.04	0.05	0.13	0.02	0.06	0.03	0.1	0	0.01
Col28a1	0.12	0.1	2.51	0.01	0.05	0.02	0.1	0.07	0.02	0.01	0.09	0	0	0.01
Kcna2	0	0.1	2.69	0	0.08	0.04	0.02	0.03	0.01	0.16	0.03	0.01	0	0.03
Lgi4	0.02	0.27	2.82	0	0.09	0.06	0.07	0.22	0.04	0.04	0.24	0.09	0.14	0
Sox10	0.01	0.16	3.24	0.01	0.05	0.01	0.08	0.03	0.03	0.05	0.06	0.02	0	0.01
Cdh19	0.02	0.35	2.75	0	0.03	0.02	0.08	0.04	0.06	0.02	0.04	0.05	0	0
Gfra3	0.03	0.06	2.52	0	0.04	0	0.02	0.04	0.03	0.05	0.09	0.01	0	0.01
Gpr37l1	0	0.02	2.22	0	0.03	0.01	0.01	0.04	0.07	0.03	0.01	0	0	0.03
Kcna6	0.22	0.13	2.46	0	0.03	0.02	0.06	0.01	0.04	0.12	0.04	0.05	0	0.05
Scn7a	0.04	0.12	3.24	0.01	0.16	0.01	0.07	0.1	0.06	0.34	0.12	0.02	0	0.05
Egfl8	0.35	0.06	2.5	0.14	0.05	0.08	0.08	0.15	0.08	0.16	0.11	0.11	0	0.05
Erbb3	0.04	0.16	2.26	0.04	0.08	0.11	0.04	0.32	0	0.02	0.15	0.02	0.56	0.06
Mal	0.4	0.04	2.23	0.03	0.05	0.01	0.02	0.05	0.03	0.02	0.01	0	0.14	0.01
Esr1	0.16	0.24	2.33	0.15	0.33	0.12	0.13	0.04	0.25	0.09	0.06	0.15	0	0
L1cam	0.05	0.05	2.78	0.48	0.05	0.03	0.03	0.21	0.07	0	0.08	0.01	0.69	0.31
Ptprz1	0.01	0.5	2.65	0.05	0.11	0.04	0.86	0.07	0.1	0.07	0.08	0.32	0	0.09
Plp1	0.08	0.33	3.85	0.03	0.15	0.05	0.38	0.29	0.31	0.31	0.22	0.09	0.04	0.04
Art3	0.63	0.13	3.21	0.02	1.44	0.03	0.01	0.09	0.05	0.13	0.2	0.06	0.06	0.02
Cryab	0.02	0.06	3.16	0.09	1.38	0.09	0.04	0.1	0.13	0.52	0.37	0.02	0	0.02
Abca8a	0.04	0.25	2.89	0.03	0.63	0.02	0.09	0.14	0.53	0.31	0.08	0.53	0	0.03
Chl1	0.02	0.12	3.01	0	0.05	0.02	0.03	0.31	0.06	0.23	0.41	0.01	2.12	0.02
Smpd3	0.09	0.93	0.15	0.11	0.09	0.13	2.77	0.1	0.14	0.07	0.09	0.29	0.05	0.03
Car2	0.48	0.97	0.02	0.43	0.53	0.07	2.82	0.51	0.14	0.16	1.6	0.1	0.41	0.18
Sp6	0.13	1.46	0.07	0.16	1.08	0.14	2.43	2.98	0.12	0.15	0.82	1.41	1.6	0.12
Moxd1	0.13	0.95	0.69	0.07	0.08	0.05	1.06	2.02	2.95	0.45	0.57	1.28	0.32	0.12
Cldn10	0.08	0.73	0.04	0.14	0.25	0.08	0.28	1.82	0.25	0.53	1.79	0.24	0.19	0.06
Igfbp2	0.1	0.06	0.02	0.01	0.22	0.02	0.03	0.46	0.02	1.77	2.6	0.04	0	0.02
Epcam	0.06	0.12	0.03	0.07	0.03	0.04	0.19	2.87	0.04	0	1.57	0.02	2.14	0.03
Krt17	0.05	0.09	0.08	0.07	0.05	0.03	0.02	2.76	0.02	0.07	1.29	0.01	1.17	0.09
Shh	0.11	0.16	0.19	0.27	0.12	0.06	0.1	2.55	0.19	0.19	0.54	0.02	0	0.4
Vwa2	0.03	0.05	0.08	0.05	0.04	0.02	0.13	2.47	0.07	0.01	1.07	0.01	0.05	0.07
Fras1	0.08	0.53	0.16	0.07	0.37	0.12	1.11	2.49	0.22	0.24	1.52	0.2	0.25	0.04
Ccr2	0.02	0.05	0	2.29	0.07	0.72	0.01	0.02	0.02	0.02	0.07	0.02	0.07	0.11
Itgb7	0.04	0.07	0.03	2.24	0.03	0.06	0.05	0.16	0.06	0.05	0.05	0.08	0.28	0.13
Napsa	0.02	0.05	0.01	2.57	0	0.09	0.01	0.11	0.04	0.02	0.14	0.01	0	0.98
Mbp	0.06	0.33	2.58	1.64	0.12	0.53	0.09	0.72	0.13	0.2	0.2	0.06	0	1.46
Postn	0.54	1.05	3.25	0.39	2.6	0.57	0.85	0.25	3.25	2.3	0.53	4.08	1.16	0.44
Olfml2b	0.32	0.4	1.44	0.17	2.35	0.2	0.16	0.1	1.07	2.79	0.2	3.16	0.46	1.07
Spon1	0.15	0.6	1.82	0.29	1.23	0.11	1.11	0.33	3.44	3.19	0.27	2.55	0.21	0.17
Myl9	0.17	1.56	1.28	0.28	2.42	0.18	0.84	0.45	3.23	3.52	0.58	2.37	0.04	0.42
Lsp1	0.13	1.14	0.1	3.22	0.47	0.53	1.37	0.17	3.04	3.05	0.14	2.57	0.18	3.39
Crispld2	0.09	0.6	0.34	0.17	1.23	0.12	0.14	0.02	2.21	3.15	0.12	1.53	0.09	1.75
Ogn	0.13	0.84	0.07	0.16	0.74	0.07	0.31	0.05	3	3.08	0.16	1.11	0.16	0.13
Angpt4	0.13	1.57	0.09	0.13	0.26	0.1	0.21	0.01	0.46	2.66	0.05	0.27	0.09	0.09
Scara5	0.02	0.77	0.05	0.01	0.91	0.1	0.16	0.2	0.43	2.57	0.06	1.21	0.02	0.02
Igfbp5	0.55	0.72	0.26	0.38	1.38	0.38	0.13	0.29	1.09	2.8	2.46	0.32	0.48	0.26
Dpep1	0.06	0.19	0.07	0.09	0.21	0.03	0.12	0.02	3.18	2.99	0.21	0.45	0.09	0.14
Grem2	0	0.05	0.03	0.02	0.31	0.01	0.07	0.03	1.15	2.31	0.04	0.02	0	0.02
Epha3	0.03	0.11	0.09	0.03	0.6	0.02	0.37	0.02	2.47	1.78	0.04	1.09	0.03	0.07
Thsd4	0.02	0.16	0.48	0.13	0.56	0.05	0.16	0.23	1.35	2.54	0.38	1.24	0.73	0.04
Col26a1	0.04	0.96	0.09	0.08	0.24	0.04	1.59	0.15	2.56	1.29	0.08	0.35	0	0.03
Foxf2	0.03	1.12	0.05	0.09	0.79	0.07	1.3	0.02	2.86	2.73	0.04	2.11	0.13	0.1
Tagln	0.09	0.1	0.88	0.17	1.55	0.09	0.07	0.14	2.06	2.57	0.32	0.5	0.02	0.22
Acta2	0.16	0.28	0.15	0.4	2.35	0.17	0.31	0.24	1.72	3.59	0.4	0.35	0.06	1.15
Ncam1	0.2	1.48	2.71	0.27	0.83	0.11	2.02	0.19	1.76	3.53	0.29	0.9	1.37	1.15
Hmgcs2	0.12	0.46	1.17	0.09	0.49	0.08	0.38	0.06	2.48	3.21	0.42	0.31	0.07	0.09
Sfrp2	0.42	1.11	0.55	0.67	0.81	0.36	1.57	0.19	1.92	4.19	0.3	0.46	0.92	0.83
Smoc2	0.42	0.72	0.46	0.31	0.66	0.28	0.49	0.33	1.83	2.89	0.42	0.37	1.76	0.23
Mfap4	0.17	1.87	0.15	0.18	0.35	0.17	2.45	0.09	2.94	2.93	0.09	0.56	0.2	0.05
Shisa2	0.12	1.16	0.35	0.13	0.19	0.07	1.13	0.72	0.67	1.27	0.65	0.25	0.13	0.06
Wfikkn2	0.09	0.54	0.08	0.07	0.14	0.08	0.64	0.1	0.86	2.33	0.11	0.28	0.22	0.05
Crabp1	0.06	1.95	0.11	0.11	0.11	0.16	3.04	0.13	0.86	1.68	0.17	1.44	0.06	0.03
Igfbp3	2.58	0.91	1.55	0.27	1.25	0.46	0.57	0.81	3.08	3.91	2.9	0.74	1.02	0.4
Cx3cr1	0.13	0.16	0.03	1.05	0.17	3.32	0.12	0.06	0.1	0.07	0.07	0.18	0.13	0.11
Emr1	0.25	0.2	0.03	1.34	0.14	3.53	0.12	0.03	0.11	0.14	0.15	0.22	0.18	0.35
Mrc1	0.28	0.26	0.12	0.48	0.24	3.23	0.2	0.08	0.2	0.13	0.2	0.33	0.09	0.16
Hpgd	0.17	0.18	0.02	0.65	0.29	2.72	0.16	0.04	0.14	0.24	0.11	0.13	0.07	0.05
Cxcl16	0.44	0.21	0.03	0.84	0.16	3.35	0.11	0.12	0.19	0.17	0.22	0.2	0.49	0.03
C1qa	0.37	0.35	0.07	0.31	0.3	3.83	0.19	0.1	0.23	0.2	0.23	0.29	0.16	0.25
C1qc	0.38	0.34	0.11	0.32	0.34	3.93	0.22	0.08	0.25	0.17	0.26	0.42	0.26	0.39
Fcrls	0.3	0.28	0.03	0.21	0.2	3.37	0.27	0.07	0.15	0.19	0.13	0.24	0.17	0.25
C1qb	0.63	0.61	0.1	0.49	0.53	4.11	0.42	0.15	0.37	0.32	0.45	0.49	0.42	0.38
Lilra5	0.09	0.06	0.01	0.1	0.11	2.79	0.03	0.01	0.01	0.04	0.04	0.07	0.05	0.08
Trem2	0.05	0.07	0.01	0.3	0.06	2.62	0.04	0.01	0.02	0.01	0.04	0.06	0.05	0.04
P2ry13	0.05	0.06	0.02	0.17	0.05	2.14	0.08	0.04	0.03	0.02	0.04	0.03	0.05	0.18
Gpr34	0.15	0.11	0.01	0.46	0.18	2.82	0.1	0.02	0.08	0.05	0.02	0.09	0.11	0.14
Aif1	0.11	0.12	0.01	0.77	0.08	3.09	0.05	0.01	0.01	0.08	0.09	0.13	0.27	0.08
Hpgds	0.1	0.08	0.04	0.43	0.04	2.69	0.14	0.04	0.05	0.05	0.16	0.11	0	0.03
Clec4n	0.09	0.13	0.01	0.28	0.07	2.86	0.09	0.05	0.02	0.07	0.11	0.09	0.14	0.14
Fcgr1	0.11	0.09	0	0.77	0.03	3.03	0.06	0	0.02	0.01	0.03	0.06	0.1	0.02
C3ar1	0.13	0.1	0.02	0.1	0.08	3.21	0.12	0.02	0.05	0.06	0.04	0.08	0.1	0.02
Ms4a7	0.18	0.19	0.02	0.23	0.15	3.55	0.09	0.04	0.07	0.08	0.18	0.15	0.13	0.09
Gpr65	0.09	0.11	0.01	0.96	0.08	2.9	0.06	0.01	0.04	0.04	0.02	0.1	0.04	0.65
Slc11a1	0.1	0.12	0.03	0.76	0.33	2.86	0.01	0.03	0.03	0.05	0.06	0.12	0.14	0.92
Lair1	0.06	0.1	0.04	0.63	0.09	2.9	0.09	0	0.02	0.04	0.04	0.07	0.02	0.26
Slco2b1	0.77	0.14	0.01	0.04	0.18	2.57	0.03	0.01	0.06	0.04	0.02	0.03	0	0.04
